Designator,Mid X,Mid Y,Rotation,Layer
C1,7.27,-3.2,90.0,top
C2,22.74,-14.6,270.0,top
C3,24.77,-14.61,270.0,top
D1,22.24,-4.1225,90.0,top
D2,26.44,-4.11,270.0,top
D3,28.96,-14.82,270.0,top
J2,1.625,-8.85,270.0,top
J3,36.48,-7.95,180.0,top
J4,14.25,-7.95,180.0,top
J5,45.55,-9.45,90.0,top
R1,24.34,-4.1225,270.0,top
R2,28.79,-4.09,90.0,top
R3,27.01,-14.64,270.0,top
R4,13.7,-13.8,180.0,top
U1,25.36,-9.57,90.0,top
